first_name,last_name,urls
Barbro,Osher,['https://givingpledge.org/Pledger.aspx%3Fid%3D260']
Phillip,Frost,['http://www.bizjournals.com/southflorida/news/2017/06/06/drug-by-phillip-frosts-opko-health-tackles-larger.html']
Michelle,Riffelmacher,['http://www.businesswire.com/news/home/20170606005475/en/Macquarie-Strengthens-Expands-U.S.-Transition-Management-Business']
Phillip,Frost,"['http://kgazette.com/the-insider-and-ceo-chairman-of-opko-health-inc-opk-phillip-frost-paid-for-55000-shares-perella-weinberg-partners-capital-management-lp-lowered-linear-technology-lltc-position-by-703576/', 'https://www.streetinsider.com/SEC%2BFilings/Form%2B4%2BOpko%2BHealth%252C%2BInc.%2BFor%253A%2BJun%2B05%2BFiled%2Bby%253A%2BFROST%2BPHILLIP%2BMD%2BET%2BAL/12982752.html']"
William,Montgoris,['http://www.stjohns.edu/about/news/2017-06-05/second-annual-grand-alumni-homecoming-weekend-celebrates-past-present-and-future']
David,Pulver,['https://www.themarketsdaily.com/2017/06/09/insider-buying-carters-inc-cri-director-acquires-80100-00-in-stock-updated.html']
Betsy,Morgan,['https://feedreader.com/observe/askbetsymorgan.com']
Phillip,Frost,['https://highpointobserver.com/the-insider-phillip-frost-invested-in-55600-shares-of-opko-health-inc-opk-glenview-capital-management-cut-cigna-ci-stake/']
David,Pulver,['https://www.chaffeybreeze.com/2017/06/08/david-pulver-purchases-1000-shares-of-carters-inc-cri-stock-updated.html']
Scott,Brady,['http://www.businesswire.com/news/home/20170608005413/en/Citrine-Informatics-Raises-7.6M-Revolutionize-Materials-Driven-Product']
Amy,Walter,['http://cookpolitical.com/story/10374']
Bob,Diamond,['https://www.theguardian.com/business/2017/jun/04/panmure-gordon-bob-diamond-banker']
Phillip,Frost,"['https://kldaily.com/opko-health-inc-nasdaqopks-insider-phillip-frost-paid-for-55600-shares/', 'http://highpointobserver.com/insider-deal-opko-health-inc-opks-ceo-cincinnati-casualty-company-has-increased-lyondellbasell-lyb-position/']"
Phillip,Frost,['http://appsforpcdaily.com/2017/06/opko-health-inc-opk-ceo-acquires-120000-shares-of-stock/']
Andrew,Davis,['https://www.nytimes.com/2017/06/18/fashion/weddings/kathryn-pickett-andrew-davis.html']
Phillip,Frost,['https://weeklyregister.com/reasons-for-phillip-frosts-share-buy-of-opko-health-inc-nasdaqopks-stock/']
Amy,Walter,['http://cookpolitical.com/story/10381']
Eric,Rosengren,"['http://www.marketwatch.com/story/feds-rosengren-says-low-interest-rates-do-raise-financial-stability-concerns-2017-06-20', 'https://www.reuters.com/article/us-usa-fed-rosengren-idUSKBN19B1NQ', 'https://www.euroexchangeratenews.co.uk/euro-rises-us-dollar-cautious-fed-forecasts-25076']"
Bob,Diamond,"['https://www.fnlondon.com/articles/bob-diamond-sells-big-stake-in-atlas-mara-20170621', 'http://www.standard.co.uk/news/crime/four-exbarclays-executives-charged-with-fraud-plot-over-qatar-bailout-a3568911.html']"
Bob,Diamond,"['https://www.ft.com/content/b756135e-5691-11e7-9fed-c19e2700005f', 'http://www.thisismoney.co.uk/money/news/article-4626988/ALEX-BRUMMER-Barclays-litany-errors.html']"
Bill,Alfond,['https://www.forbes.com/sites/chasewithorn/2017/06/21/meet-the-richest-person-in-every-state-2017/']
Betsy,Morgan,['http://shelterislandreporter.timesreview.com/2017/06/21/mayors-party-loses-angst-filled-election/']
Phillip,Frost,['http://www.bizjournals.com/southflorida/news/2017/06/20/this-south-florida-billionaire-is-florida-s-most.html']
Kevin,Starr,['https://www.thecerbatgem.com/2017/06/20/cytomx-therapeutics-ctmx-getting-somewhat-favorable-press-coverage-analysis-shows-updated-updated-updated-updated.html']
